iter	Passed	Remaining
0	126	62956
1	135	33772
2	144	23962
3	153	19089
4	163	16184
5	173	14322
6	183	12926
7	193	11899
8	205	11206
9	215	10564
10	224	9990
11	233	9502
12	243	9108
13	252	8759
14	261	8466
15	271	8214
16	281	7987
17	290	7768
18	298	7561
19	308	7394
20	317	7233
21	326	7097
22	337	6997
23	347	6890
24	356	6770
25	365	6665
26	374	6560
27	383	6467
28	393	6384
29	402	6310
30	412	6244
31	422	6176
32	431	6102
33	440	6039
34	451	5994
35	460	5938
36	469	5877
37	478	5821
38	487	5764
39	496	5706
40	505	5654
41	514	5613
42	524	5575
43	534	5542
44	544	5500
45	553	5459
46	566	5460
47	579	5460
48	591	5441
49	603	5431
50	613	5403
51	627	5407
52	647	5459
53	659	5449
54	678	5489
55	691	5479
56	703	5467
57	718	5474
58	735	5500
59	751	5514
60	771	5554
61	782	5528
62	796	5522
63	808	5507
64	820	5489
65	832	5473
66	844	5456
67	855	5436
68	865	5408
69	877	5390
70	888	5369
71	900	5354
72	912	5339
73	923	5318
74	935	5302
75	945	5277
76	956	5252
77	966	5229
78	978	5213
79	987	5185
80	997	5157
81	1006	5129
82	1016	5106
83	1027	5087
84	1035	5056
85	1044	5028
86	1053	5000
87	1062	4975
88	1073	4957
89	1083	4936
90	1092	4911
91	1102	4887
92	1111	4865
93	1123	4853
94	1133	4832
95	1143	4813
96	1154	4795
97	1163	4774
98	1173	4754
99	1182	4729
100	1190	4703
101	1199	4678
102	1208	4657
103	1218	4641
104	1229	4626
105	1240	4610
106	1252	4600
107	1263	4584
108	1272	4566
109	1281	4544
110	1292	4528
111	1303	4514
112	1312	4495
113	1322	4476
114	1331	4458
115	1341	4441
116	1351	4424
117	1361	4407
118	1370	4387
119	1379	4367
120	1387	4347
121	1397	4329
122	1406	4311
123	1416	4295
124	1426	4279
125	1435	4261
126	1444	4242
127	1452	4221
128	1461	4204
129	1470	4186
130	1480	4171
131	1492	4159
132	1501	4143
133	1510	4125
134	1519	4109
135	1529	4093
136	1540	4080
137	1551	4069
138	1559	4051
139	1568	4033
140	1578	4018
141	1588	4003
142	1597	3989
143	1606	3972
144	1615	3955
145	1624	3939
146	1633	3923
147	1643	3907
148	1652	3892
149	1661	3876
150	1671	3864
151	1683	3854
152	1696	3848
153	1706	3834
154	1716	3820
155	1728	3811
156	1737	3796
157	1746	3780
158	1755	3765
159	1765	3752
160	1776	3739
161	1786	3726
162	1795	3712
163	1804	3696
164	1812	3680
165	1821	3664
166	1830	3649
167	1839	3636
168	1851	3626
169	1862	3615
170	1874	3606
171	1888	3601
172	1901	3593
173	1910	3579
174	1920	3566
175	1929	3552
176	1942	3544
177	1951	3529
178	1959	3514
179	1968	3499
180	1978	3487
181	1987	3472
182	1997	3459
183	2006	3446
184	2015	3432
185	2024	3417
186	2033	3403
187	2042	3389
188	2052	3377
189	2063	3366
190	2072	3352
191	2082	3340
192	2091	3326
193	2100	3313
194	2109	3300
195	2119	3288
196	2130	3276
197	2139	3262
198	2148	3249
199	2156	3235
200	2166	3223
201	2175	3210
202	2185	3197
203	2195	3185
204	2204	3171
205	2212	3158
206	2221	3144
207	2229	3130
208	2238	3116
209	2247	3103
210	2257	3091
211	2266	3079
212	2277	3068
213	2286	3055
214	2295	3042
215	2304	3029
216	2313	3016
217	2322	3004
218	2333	2993
219	2343	2982
220	2351	2969
221	2360	2956
222	2369	2943
223	2378	2930
224	2386	2917
225	2395	2904
226	2404	2891
227	2413	2879
228	2422	2866
229	2431	2854
230	2440	2841
231	2449	2829
232	2458	2817
233	2468	2805
234	2477	2793
235	2487	2782
236	2496	2770
237	2505	2758
238	2515	2746
239	2523	2734
240	2532	2721
241	2542	2710
242	2552	2699
243	2561	2687
244	2571	2676
245	2580	2664
246	2588	2651
247	2597	2639
248	2606	2627
249	2615	2615
250	2624	2603
251	2633	2591
252	2642	2579
253	2651	2568
254	2661	2557
255	2670	2545
256	2679	2533
257	2688	2521
258	2697	2509
259	2706	2498
260	2715	2486
261	2725	2475
262	2736	2465
263	2745	2454
264	2755	2443
265	2767	2434
266	2776	2422
267	2785	2411
268	2795	2400
269	2803	2388
270	2812	2376
271	2822	2366
272	2832	2355
273	2841	2344
274	2850	2332
275	2860	2321
276	2871	2311
277	2882	2301
278	2891	2290
279	2901	2280
280	2912	2270
281	2921	2258
282	2930	2247
283	2939	2235
284	2948	2224
285	2957	2213
286	2966	2201
287	2976	2190
288	2988	2181
289	2998	2171
290	3011	2162
291	3021	2152
292	3030	2141
293	3039	2129
294	3049	2119
295	3060	2109
296	3069	2098
297	3080	2087
298	3089	2076
299	3098	2065
300	3108	2054
301	3117	2044
302	3127	2033
303	3137	2022
304	3146	2011
305	3156	2001
306	3165	1989
307	3174	1978
308	3184	1968
309	3193	1957
310	3202	1946
311	3211	1935
312	3220	1924
313	3229	1913
314	3239	1902
315	3248	1891
316	3258	1881
317	3268	1870
318	3278	1860
319	3287	1849
320	3297	1838
321	3307	1828
322	3316	1817
323	3325	1806
324	3333	1794
325	3341	1783
326	3350	1772
327	3359	1761
328	3369	1751
329	3379	1740
330	3389	1730
331	3399	1720
332	3408	1709
333	3418	1698
334	3428	1688
335	3438	1678
336	3448	1668
337	3458	1657
338	3468	1647
339	3477	1636
340	3487	1626
341	3496	1615
342	3505	1604
343	3513	1593
344	3522	1582
345	3532	1572
346	3541	1561
347	3550	1550
348	3560	1540
349	3569	1529
350	3578	1519
351	3586	1508
352	3595	1497
353	3604	1486
354	3612	1475
355	3620	1464
356	3630	1454
357	3639	1443
358	3648	1433
359	3659	1423
360	3668	1412
361	3677	1401
362	3686	1391
363	3696	1381
364	3705	1370
365	3715	1360
366	3724	1349
367	3733	1339
368	3742	1328
369	3750	1317
370	3759	1307
371	3768	1296
372	3777	1286
373	3788	1276
374	3798	1266
375	3809	1256
376	3819	1246
377	3828	1235
378	3839	1225
379	3848	1215
380	3858	1205
381	3867	1194
382	3876	1184
383	3885	1173
384	3896	1163
385	3905	1153
386	3913	1142
387	3922	1132
388	3930	1121
389	3941	1111
390	3951	1101
391	3960	1091
392	3970	1080
393	3978	1070
394	3987	1060
395	3996	1049
396	4005	1039
397	4014	1028
398	4024	1018
399	4034	1008
400	4044	998
401	4059	989
402	4071	979
403	4083	970
404	4093	960
405	4102	949
406	4111	939
407	4123	929
408	4134	919
409	4145	909
410	4155	899
411	4164	889
412	4174	879
413	4183	869
414	4192	858
415	4197	847
416	4207	837
417	4216	827
418	4226	817
419	4236	807
420	4246	796
421	4255	786
422	4265	776
423	4274	766
424	4290	757
425	4299	746
426	4307	736
427	4316	726
428	4325	715
429	4336	705
430	4346	695
431	4355	685
432	4364	675
433	4373	665
434	4382	654
435	4391	644
436	4400	634
437	4411	624
438	4421	614
439	4429	604
440	4438	593
441	4446	583
442	4455	573
443	4466	563
444	4476	553
445	4486	543
446	4494	532
447	4503	522
448	4513	512
449	4522	502
450	4532	492
451	4542	482
452	4551	472
453	4560	462
454	4568	451
455	4577	441
456	4586	431
457	4596	421
458	4605	411
459	4616	401
460	4625	391
461	4634	381
462	4644	371
463	4653	361
464	4663	350
465	4673	340
466	4682	330
467	4692	320
468	4701	310
469	4711	300
470	4721	290
471	4731	280
472	4740	270
473	4748	260
474	4757	250
475	4765	240
476	4774	230
477	4783	220
478	4794	210
479	4805	200
480	4815	190
481	4826	180
482	4836	170
483	4845	160
484	4855	150
485	4865	140
486	4876	130
487	4886	120
488	4896	110
489	4905	100
490	4915	90
491	4925	80
492	4935	70
493	4944	60
494	4954	50
495	4963	40
496	4973	30
497	4982	20
498	4992	10
499	5002	0
